Date,Open,High,Low,Close,Volume,Adj Close,Returns
28-06-2012,1208.1,1228,1203.85,1223.4,388200,1117.67,0.015654203
29-06-2012,1229.8,1273.8,1228.25,1268.05,440500,1158.46,0.035845376
02-07-2012,1265.25,1320,1253.5,1311.65,652700,1198.29,0.033804004
03-07-2012,1316.2,1321,1285.55,1295.4,376600,1183.44,-0.012470089
04-07-2012,1298,1305.4,1282,1287.65,311500,1176.36,-0.006000527
05-07-2012,1294.9,1305,1287.7,1296.75,222300,1184.68,0.007047771
06-07-2012,1295,1309.5,1287,1296.1,205600,1184.08,-0.000506594
09-07-2012,1284.3,1292.15,1264.05,1280.4,237200,1169.74,-0.0121846
10-07-2012,1284,1287.55,1260.1,1271.95,440300,1162.02,-0.006621632
11-07-2012,1270.4,1286.75,1260.5,1264.4,374700,1155.12,-0.005955635
12-07-2012,1260.95,1272.85,1255.15,1263.75,234700,1154.53,-0.0005109
13-07-2012,1269.7,1273.3,1260,1263.95,108300,1154.71,0.000155895
16-07-2012,1266,1272,1255,1258.35,126300,1149.59,-0.004443873
17-07-2012,1262,1271.1,1249.6,1257.8,219200,1149.09,-0.000435032
18-07-2012,1258,1281.4,1242.45,1266.95,265300,1157.45,0.007248985
19-07-2012,1275,1277.8,1256.1,1262.85,336100,1153.71,-0.003236473
20-07-2012,1254,1268.55,1253.1,1259.3,156600,1150.46,-0.002820974
23-07-2012,1250.35,1271.65,1248.3,1253.4,252100,1145.07,-0.004696092
24-07-2012,1254.65,1277.5,1252.3,1269.65,241800,1159.92,0.012885267
25-07-2012,1262.15,1292,1262.15,1276.2,587000,1165.9,0.005142284
26-07-2012,1283,1289.15,1252.3,1260.85,664300,1151.88,-0.012097931
27-07-2012,1289.9,1309,1280.55,1293.75,516800,1181.94,0.025761766
30-07-2012,1308,1308,1288.65,1297.85,264500,1185.68,0.003159293
31-07-2012,1300,1332.3,1295.1,1324.2,464200,1209.75,0.020097277
01-08-2012,1314,1327.7,1309,1323.4,213200,1219.15,0.007740168
02-08-2012,1317.1,1327.8,1314.05,1317.55,235000,1213.76,-0.004430915
03-08-2012,1312.1,1315,1305.1,1308.7,204400,1205.61,-0.006737317
06-08-2012,1324.8,1325,1314.25,1317.95,252700,1214.13,0.007042108
07-08-2012,1318.25,1342.9,1304,1335,539100,1229.84,0.012856309
08-08-2012,1341,1356.9,1335,1341,249000,1235.36,0.004478346
09-08-2012,1343.1,1351.35,1333.65,1338.85,210700,1233.38,-0.001604057
10-08-2012,1335,1354.8,1335,1342.05,241300,1236.33,0.002388946
13-08-2012,1342.05,1364,1339.5,1360.25,235700,1253.1,0.013473167
14-08-2012,1360,1363.9,1350.5,1354.7,174900,1247.98,-0.004094237
16-08-2012,1356,1358.05,1335.1,1338.45,124700,1233.01,-0.01206791
17-08-2012,1335.15,1338.45,1320.15,1326.35,190500,1221.87,-0.009075862
21-08-2012,1330,1363,1320,1357.85,175500,1250.89,0.023472826
22-08-2012,1351.5,1370.8,1345.2,1361.05,180100,1253.83,0.002347569
23-08-2012,1366,1367.9,1340,1346.75,139300,1240.66,-0.010559371
24-08-2012,1343.8,1344.45,1329.5,1338.35,80600,1232.92,-0.006258156
27-08-2012,1338,1349.8,1332,1346.7,130900,1240.61,0.006217854
28-08-2012,1350.9,1350.9,1324.45,1335.45,86900,1230.25,-0.008385793
29-08-2012,1343,1343,1323,1337.8,138700,1232.42,0.001762315
30-08-2012,1330.5,1338.25,1313.6,1326.85,494700,1222.33,-0.008220843
31-08-2012,1317,1327,1304.15,1308.5,187400,1205.42,-0.013930819
03-09-2012,1311.05,1315,1293.05,1308.6,156300,1205.52,8.30E-05
